x,y
1700.25,6.15
1700.75,9.04
1701.25,11.76
1701.78,14.36
1702.25,16.97
1702.65,19.7
1703.01,22.3
1703.32,25.49
1703.59,28.82
1703.86,32.27
1704.14,35.54
1704.34,38.86
1704.45,41.64
1704.62,44.62
1704.77,47.79
1705.16,50.57
1705.19,52.88
1705.24,55.95
1705.58,46.95
1705.69,43.18
1705.81,39.41
1705.92,35.64
1706.04,31.81
1706.22,28.19
1706.53,25.18
1706.84,22.27
1707.15,19.25
1707.43,16.33
1707.68,13.79
1707.99,10.69
1708.54,8.83
1709.18,7.1
1709.75,4.23
1710.39,1.71
1711.10,-0.04
1711.81,-0.18
1712.53,0.8
1713.09,2.47
1713.45,5.46
1713.79,8.38
1714.10,11.43
1714.34,14.76
1714.54,17.94
1714.75,21.04
1714.96,24.14
1715.20,27.39
1715.35,30.37
1715.55,33.88
1715.76,37.86
1715.97,41.67
1716.15,45.32
1716.36,48.94
1716.56,52.12
1716.77,55.22
1716.98,58.32
1717.45,62.03
1718.09,60.42
1718.42,56.35
1718.55,53.28
1718.67,50.51
1718.79,47.75
1718.90,45.08
1718.99,42.79
1719.14,39.95
1719.39,36.73
1719.64,33.87
1719.88,31.02
1720.36,27.65
1721.06,25.98
1721.74,23.52
1722.21,20.87
1722.49,17.81
1722.74,14.89
1723.22,12.94
1723.72,16.96
1723.99,19.6
1724.26,22.61
1724.47,26.36
1724.68,30.13
1724.86,33.85
1725.07,36.82
1725.22,40.2
1725.37,44.45
1725.52,49.43
1725.67,54.44
1725.82,59.27
1725.97,64.26
1726.12,69.28
1726.27,74.27
1726.40,78.65
1726.48,82.1
1726.56,84.94
1726.64,87.83
1726.71,90.64
1726.79,93.53
1726.87,96.5
1726.94,99.35
1727.02,102.16
1727.10,104.96
1727.17,107.81
1727.25,110.74
1727.61,113.97
1727.65,116.59
1727.56,120.15
1728.06,111.04
1728.24,107.27
1728.42,103.94
1728.51,101.07
1728.62,97.88
1728.74,93.92
1728.85,90.0
1728.97,86.1
1729.08,82.21
1729.19,78.32
1729.31,74.42
1729.42,70.75
1729.54,67.26
1729.65,63.94
1729.77,60.48
1729.89,57.15
1730.00,53.73
1730.12,50.37
1730.26,46.88
1730.51,43.65
1730.76,40.58
1731.01,37.47
1731.22,33.92
1731.34,30.87
1731.45,27.77
1731.57,24.59
1731.69,21.55
1731.80,18.38
1731.92,15.27
1732.06,11.84
1732.41,9.0
1732.99,6.3
1733.48,9.15
1733.76,12.07
1734.03,14.96
1734.27,18.04
1734.48,21.83
1734.69,25.35
1734.90,28.87
1735.10,32.09
1735.25,35.54
1735.40,40.15
1735.54,44.8
1735.69,49.51
1735.84,54.23
1735.99,58.87
1736.14,63.59
1736.30,68.13
1736.53,72.1
1736.80,74.89
1737.07,77.75
1737.35,80.74
1737.52,84.35
1737.67,88.21
1737.81,92.17
1737.96,96.13
1738.10,99.99
1738.25,103.85
1738.65,107.77
1738.57,110.26
1739.13,104.96
1739.38,102.19
1739.55,98.65
1739.64,95.46
1739.76,92.08
1739.87,88.53
1739.99,84.8
1740.10,81.25
1740.22,77.51
1740.33,73.93
1740.45,70.04
1740.56,65.77
1740.67,61.44
1740.78,57.13
1740.90,52.86
1741.01,48.56
1741.12,44.29
1741.23,40.05
1741.38,36.52
1741.50,33.62
1741.62,30.98
1741.74,28.16
1741.91,24.79
1742.04,21.65
1742.45,18.81
1742.99,16.52
1743.36,13.37
1743.61,10.57
1744.03,7.26
1744.33,6.56
1744.91,9.69
1745.24,12.21
1745.51,15.1
1745.78,17.9
1746.05,20.88
1746.33,24.37
1746.54,27.89
1746.75,31.41
1746.96,34.92
1747.16,38.44
1747.36,41.55
1747.52,44.81
1747.72,48.15
1747.87,51.35
1748.07,54.86
1748.29,58.86
1748.50,62.88
1748.70,66.65
1748.86,69.97
1749.05,73.43
1749.20,76.51
1749.31,79.17
1749.77,81.99
1750.34,82.68
1750.54,78.87
1750.65,74.23
1750.76,69.61
1750.87,64.93
1750.98,60.31
1751.09,55.64
1751.21,51.02
1751.58,47.89
1752.20,47.37
1752.54,43.3
1752.72,39.95
1752.90,36.6
1753.08,33.25
1753.26,29.95
1753.41,26.22
1753.62,22.39
1753.77,19.31
1753.96,15.48
1754.22,12.39
1754.80,10.44
1755.51,9.83
1756.12,10.97
1756.38,14.67
1756.55,17.94
1756.66,20.75
1756.83,23.72
1756.94,26.53
1757.11,29.45
1757.23,32.43
1757.43,35.41
1757.64,38.42
1757.85,41.35
1758.06,44.33
1758.33,47.72
1758.73,50.47
1759.16,53.17
1759.53,55.99
1759.87,58.86
1760.22,61.77
1760.44,64.5
1760.55,66.99
1760.69,69.65
1760.86,73.03
1760.97,75.78
1761.36,78.79
1761.45,81.67
1761.43,84.66
1761.82,75.75
1761.93,72.57
1762.05,69.34
1762.17,66.14
1762.28,62.9
1762.43,59.79
1762.65,56.4
1762.83,53.26
1763.01,50.12
1763.19,46.98
1763.44,43.95
1763.75,41.08
1764.06,38.25
1764.31,35.47
1764.49,32.54
1764.68,29.53
1764.86,26.52
1765.04,23.5
1765.26,20.49
1765.54,17.6
1766.08,14.81
1766.13,12.26
1766.50,19.24
1766.66,23.13
1766.81,26.65
1766.95,30.07
1767.09,33.43
1767.24,37.11
1767.38,41.16
1767.53,45.34
1767.68,49.55
1767.82,53.63
1767.97,57.84
1768.12,62.02
1768.27,66.19
1768.41,70.53
1768.56,75.21
1768.71,79.42
1768.86,84.63
1769.02,89.32
1769.16,94.11
1769.31,98.83
1769.67,103.51
1769.80,104.94
1770.39,101.82
1770.65,98.45
1770.76,95.6
1770.93,92.11
1771.11,88.34
1771.29,84.58
1771.47,81.31
1771.69,78.17
1771.87,75.2
1772.05,72.27
1772.24,69.3
1772.40,65.93
1772.47,63.14
1772.59,59.61
1772.70,55.41
1772.81,51.36
1772.92,47.12
1773.04,43.07
1773.15,38.95
1773.42,34.48
1773.93,32.09
1774.28,29.32
1774.40,26.33
1774.51,23.29
1774.63,20.24
1774.75,17.2
