x,y
1995.500,1181.358
1995.810,1184.883
1996.092,1188.313
1996.371,1190.581
1996.679,1192.193
1996.988,1193.963
1997.297,1196.654
1997.573,1200.454
1997.807,1203.981
1998.055,1207.616
1998.293,1210.951
1998.597,1209.573
1998.901,1208.065
1999.205,1206.509
1999.507,1203.629
1999.808,1200.352
2000.110,1197.106
2000.335,1193.914
2000.501,1190.527
2000.685,1186.911
2000.868,1183.315
2001.040,1179.907
2001.212,1176.712
2001.343,1172.921
2001.497,1169.035
2001.633,1165.458
2001.770,1161.865
2001.906,1158.288
2002.037,1154.736
2002.214,1151.256
2002.462,1147.598
2002.728,1144.098
2003.012,1140.34
2003.266,1137.068
2003.497,1133.649
2003.751,1130.071
2004.029,1126.479
2004.336,1127.162
2004.646,1130.03
2004.956,1133.114
2005.262,1133.581
2005.564,1130.377
2005.866,1127.215
2006.161,1124.056
2006.427,1120.141
2006.669,1116.614
2006.889,1113.356
2007.137,1110.201
2007.441,1108.08
2007.744,1106.027
2008.047,1103.838
2008.348,1100.574
2008.650,1097.025
2008.951,1093.638
2009.223,1090.467
2009.496,1087.262
2009.791,1083.914
2010.089,1082.021
2010.399,1084.789
2010.708,1087.769
2010.995,1090.826
2011.206,1095.021
2011.358,1098.615
2011.510,1102.208
2011.662,1105.789
2011.814,1109.395
2012.029,1113.342
2012.185,1113.648
2012.480,1110.063
2012.781,1106.514
2013.047,1102.954
2013.236,1098.962
2013.384,1095.361
2013.532,1091.74
2013.680,1088.139
2013.828,1084.518
2013.972,1080.418
